time,temperature,voltage,pressure,is_anomaly
0,20.060943415950888,3.2970358676987033,100.95480490201464,0
1,19.832000512138567,3.2635356531813167,100.94341222888796,0
2,20.23006890753456,3.279276346708207,101.063400982345,0
3,20.308040956237132,3.331695518886687,101.0551854415295,0
4,19.769622350207577,3.3001496645599975,100.89952084523897,0
5,19.93923093192119,3.3170104988434166,101.16226782545637,0
6,20.2649924952113,3.3335039621101092,101.05058054246491,0
7,20.21583771081976,3.2812579268551194,100.95890689047842,0
8,20.315276181727636,3.33781240818149,101.19887841143539,0
9,20.187450361336932,3.3189421301729194,101.15256755715961,0
10,20.57321825656269,3.2382593456544257,100.9735458008052,0
11,20.59201763324753,3.372115239559312,101.28771828402577,0
12,20.48861139236651,3.274962762812154,101.18587973683663,0
13,20.739609345177918,3.2172452328407406,101.1289803884375,0
14,20.646213165578637,3.2477478145206846,101.29902188056218,0
15,29.156533870459953,2.2381309083539653,107.89354903049387,1
16,20.702883278048738,3.3026086659328766,101.15719169248959,0
17,20.47519766411583,3.286307474722688,101.10396998839781,0
18,20.880238526811635,3.2831584016179702,101.23818504393071,0
19,20.731855756628715,3.3309850982741236,101.2376602967324,0
20,20.741864211908247,3.316993768059635,101.20146801398897,0
21,20.679334997238353,3.315802393532214,101.13100136461324,0
22,21.096387197866804,3.3204914228664344,101.2329929854166,0
23,20.85699031751728,3.3308067334001117,101.22302012142379,0
24,20.837892786650347,3.1946023329111277,101.10665256812658,0
25,20.888424367110762,3.2817780873867766,101.10281876486758,0
26,21.100222112798143,3.190989496775526,101.31651533788099,0
27,21.10136079617904,3.3018029963398896,101.00981116849482,0
28,21.144918918160965,3.2997683513887828,101.30054105269613,0
29,21.182212074185323,3.352276613739484,101.24219169422463,0
30,21.557614466964164,3.359381719636056,101.43082466068799,0
31,21.080787317797686,3.3101387524126182,101.26065317908461,0
32,21.091942336910474,3.274981946130155,101.38594842142518,0
33,21.06347915829729,3.3242580556272867,101.29030861587621,0
34,21.380781932552036,3.2736041181337843,101.35137481534862,0
35,21.514229833019563,3.2999303674278324,101.423683653092,0
36,21.29597985241197,3.3493068158480384,101.31374442836754,0
